@relation 'chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L1,2,3'

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string

@data
6,respuesta,tarea,Juan,'Hola chicos, para los que no pudieron ir a la última teoría de la materia, les envié un link sobre un apunte de Aprendizaje de maquinas para que puedan tener una idea de lo que se está preguntando.'
6,respuesta,tarea,Pedro,'Los sistemas que aprenden son sistemas capaces de optimizar un criterio de desempeño usando datos de ejemplo o experiencia pasada.'
6,respuesta,tarea,Juan,'Se dice que un programa aprende de una experiencia E con respecto a una clase de tareas T y medida de desempeño P, si su desempeño en las tareas en T, de acuerdo con la medida P, mejora con la experiencia E.'
6,respuesta,tarea,María,'Una forma sencilla de explicar la principal ventaja del aprendizaje de máquinas:'
6,respuesta,tarea,María,'“Encontrar un error en un programa, y arreglarlo, hará que el programa funcione correctamente hoy.'
6,respuesta,tarea,Pedro,'Hacer que el programa encuentre el problema y lo arregle, hará que el programa funcione bien siempre”'
6,respuesta,tarea,Juan,'Esto último lo encontre en una página, capaz que esta bueno para entenderlo.'
6,respuesta,tarea,Juan,'Perfecto, está muy buena la info, coincidimos en que se basa en experiencias pasadas para mejorar el desempeño de las tareas futuras.'
4,respuesta,tarea,María,'Si quieren ya podemos ir armando una respuesta en base a lo que averiguamos.'
6,respuesta,tarea,Ramiro,'Que opinan?'
4,respuesta,tarea,Ramiro,'Entre lo que tenemos vamos haciendo un rejunte y poniendo también con nuestras palabras lo que entendimos.'
4,respuesta,tarea,Juan,'Cuando armemos una respuesta vemos si le falta algo, y si estamos todos de acuerdo.'
6,respuesta,tarea,Pedro,bárbaro
5,respuesta,tarea,Pedro,'Dale, por mi no hay problema.'
6,respuesta,tarea,María,'Fijate que en la info que pusiste vos en tu comentario, pusiste tambien un par de ejemplos, que pueden llegar a servir para la pregunta 2.'
6,respuesta,tarea,Roberto,gracias
