@relation 'chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L2,3,4+chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L1,2,3+chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L1,2,4+chat-weka.filters.unsupervised.instance.RemoveWithValues-S0.0-C2-L1,3,4'

@attribute class_conducta {1,2,3,4,5,6,7,8,9,10,11,12}
@attribute class_reaccion {positiva,negativa,pregunta,respuesta}
@attribute class_area {socio-emocional,tarea}
@attribute nombre string
@attribute mensaje string
@attribute adjectives numeric
@attribute adverbs numeric
@attribute determinants numeric
@attribute names numeric
@attribute verbs numeric
@attribute pronouns numeric
@attribute conjuctions numeric
@attribute interjections numeric
@attribute prepositions numeric
@attribute punctuation numeric
@attribute numerals numeric
@attribute dates_times numeric

@data
3,positiva,socio-emocional,Roberto,'a le da le , joya . ',0,0,0,1,2,2,0,0,0,2,0,0
1,positiva,socio-emocional,Pedro,'bárbaro ',0,0,0,1,0,0,0,0,0,0,0,0
1,positiva,socio-emocional,Roberto,'gracia ',0,0,0,1,0,0,0,0,0,0,0,0
6,respuesta,tarea,Juan,'hola chico , para el que no poder ir a el último teoría de el materia , le enviar uno lino sobre uno apunte de aprendizaje de maquinar para que poder tener uno idea de el que se estar preguntar . ',1,1,7,7,8,4,1,1,8,3,0,0
6,respuesta,tarea,Pedro,'el sistema que aprender ser sistema capaz de optimizar uno criterio de desempeño usar dato de ejemplo o experiencia pasar . ',1,0,2,7,5,1,1,0,3,1,0,0
6,respuesta,tarea,Juan,'se decir que uno programa aprender de uno experiencia f con_respecto_a uno clase de tarea f y medida de desempeño f , si su desempeño en el tarea en f , de_acuerdo_con el medida f , mejora con el experiencia r ',0,0,7,17,2,1,3,0,8,3,0,0
6,respuesta,tarea,María,'uno forma sencillo de explicar el principal ventaja de el aprendizaje de máquina : ',2,0,3,4,1,0,0,0,3,1,0,0
6,respuesta,tarea,María,'“ encontrar uno error en uno programa , y arreglar lo , hacer que el programa funcionar correcta_mente hoy . ',0,2,3,3,4,1,2,0,1,4,0,0
6,respuesta,tarea,Pedro,'hacer que el programa encontrar el problema y lo arreglar , hacer que el programa funcionar bien siempre ” ',0,2,3,3,5,1,3,0,0,2,0,0
6,respuesta,tarea,Juan,'este último el encontró en uno página , capaz que este bueno para entender lo . ',3,0,3,2,1,2,1,0,2,2,0,0
5,respuesta,tarea,Juan,'perfecto , estar muy bueno el inflo , coincidir en que se basar en experiencia pasar para mejorar el desempeño de el tarea futuro . ',2,1,3,5,5,1,1,0,4,3,0,0
4,respuesta,tarea,María,'si querer ya poder ir armar uno respuesta en base a el que averiguar . ',0,1,2,2,5,1,1,0,2,1,0,0
4,respuesta,tarea,Ramiro,'entre el que tener ir hacer uno rejuntar y poner también con nuestro palabra el que entender . ',0,1,4,1,6,2,1,0,2,1,0,0
6,respuesta,tarea,Juan,'cuando armar uno respuesta ver si le faltar algo , y si estar todo de acuerdo . ',0,0,1,2,4,3,4,0,1,2,0,0
4,respuesta,tarea,Juan,'si le parecer empezar a escribir el respuesta y a_medida_que el otro chico ir ver , agregar / modificar cosa . ',0,0,3,3,7,1,3,0,1,3,0,0
5,respuesta,tarea,Pedro,'a le , por mi no haber problema . ',0,1,1,1,2,1,0,0,1,2,0,0
4,respuesta,tarea,María,'fija te que en el inflo que poner vos en tu comentario , poner también uno par de ejemplo , que poder llegar a servir para el pregunta 2 . ',0,0,4,5,7,4,1,0,5,3,1,0
8,pregunta,tarea,Ramiro,'que opinar ? ',0,0,0,0,1,0,1,0,0,1,0,0
